book,chapter,verse,text
"Genesis",2,26,"Genesis chapter 2 verse 26 (KJV visualization text)"
"Genesis",2,27,"Genesis chapter 2 verse 27 (KJV visualization text)"
"Genesis",2,28,"Genesis chapter 2 verse 28 (KJV visualization text)"
"Genesis",2,29,"Genesis chapter 2 verse 29 (KJV visualization text)"
"Genesis",2,30,"Genesis chapter 2 verse 30 (KJV visualization text)"
"Genesis",3,1,"Genesis chapter 3 verse 1 (KJV visualization text)"
"Genesis",3,2,"Genesis chapter 3 verse 2 (KJV visualization text)"
"Genesis",3,3,"Genesis chapter 3 verse 3 (KJV visualization text)"
"Genesis",3,4,"Genesis chapter 3 verse 4 (KJV visualization text)"
"Genesis",3,5,"Genesis chapter 3 verse 5 (KJV visualization text)"
"Genesis",3,6,"Genesis chapter 3 verse 6 (KJV visualization text)"
"Genesis",3,7,"Genesis chapter 3 verse 7 (KJV visualization text)"
"Genesis",3,8,"Genesis chapter 3 verse 8 (KJV visualization text)"
"Genesis",3,9,"Genesis chapter 3 verse 9 (KJV visualization text)"
"Genesis",3,10,"Genesis chapter 3 verse 10 (KJV visualization text)"
"Genesis",3,11,"Genesis chapter 3 verse 11 (KJV visualization text)"
"Genesis",3,12,"Genesis chapter 3 verse 12 (KJV visualization text)"
"Genesis",3,13,"Genesis chapter 3 verse 13 (KJV visualization text)"
"Genesis",3,14,"Genesis chapter 3 verse 14 (KJV visualization text)"
"Genesis",3,15,"Genesis chapter 3 verse 15 (KJV visualization text)"
"Genesis",3,16,"Genesis chapter 3 verse 16 (KJV visualization text)"
"Genesis",3,17,"Genesis chapter 3 verse 17 (KJV visualization text)"
"Genesis",3,18,"Genesis chapter 3 verse 18 (KJV visualization text)"
"Genesis",3,19,"Genesis chapter 3 verse 19 (KJV visualization text)"
"Genesis",3,20,"Genesis chapter 3 verse 20 (KJV visualization text)"
"Genesis",3,21,"Genesis chapter 3 verse 21 (KJV visualization text)"
"Genesis",3,22,"Genesis chapter 3 verse 22 (KJV visualization text)"
"Genesis",3,23,"Genesis chapter 3 verse 23 (KJV visualization text)"
"Genesis",3,24,"Genesis chapter 3 verse 24 (KJV visualization text)"
"Genesis",3,25,"Genesis chapter 3 verse 25 (KJV visualization text)"
"Genesis",3,26,"Genesis chapter 3 verse 26 (KJV visualization text)"
"Genesis",3,27,"Genesis chapter 3 verse 27 (KJV visualization text)"
"Genesis",3,28,"Genesis chapter 3 verse 28 (KJV visualization text)"
"Genesis",3,29,"Genesis chapter 3 verse 29 (KJV visualization text)"
"Genesis",3,30,"Genesis chapter 3 verse 30 (KJV visualization text)"
"Genesis",4,1,"Genesis chapter 4 verse 1 (KJV visualization text)"
"Genesis",4,2,"Genesis chapter 4 verse 2 (KJV visualization text)"
"Genesis",4,3,"Genesis chapter 4 verse 3 (KJV visualization text)"
"Genesis",4,4,"Genesis chapter 4 verse 4 (KJV visualization text)"
"Genesis",4,5,"Genesis chapter 4 verse 5 (KJV visualization text)"
"Genesis",4,6,"Genesis chapter 4 verse 6 (KJV visualization text)"
"Genesis",4,7,"Genesis chapter 4 verse 7 (KJV visualization text)"
"Genesis",4,8,"Genesis chapter 4 verse 8 (KJV visualization text)"
"Genesis",4,9,"Genesis chapter 4 verse 9 (KJV visualization text)"
"Genesis",4,10,"Genesis chapter 4 verse 10 (KJV visualization text)"
"Genesis",4,11,"Genesis chapter 4 verse 11 (KJV visualization text)"
"Genesis",4,12,"Genesis chapter 4 verse 12 (KJV visualization text)"
"Genesis",4,13,"Genesis chapter 4 verse 13 (KJV visualization text)"
"Genesis",4,14,"Genesis chapter 4 verse 14 (KJV visualization text)"
"Genesis",4,15,"Genesis chapter 4 verse 15 (KJV visualization text)"
"Genesis",4,16,"Genesis chapter 4 verse 16 (KJV visualization text)"
"Genesis",4,17,"Genesis chapter 4 verse 17 (KJV visualization text)"
"Genesis",4,18,"Genesis chapter 4 verse 18 (KJV visualization text)"
"Genesis",4,19,"Genesis chapter 4 verse 19 (KJV visualization text)"
"Genesis",4,20,"Genesis chapter 4 verse 20 (KJV visualization text)"
"Genesis",4,21,"Genesis chapter 4 verse 21 (KJV visualization text)"
"Genesis",4,22,"Genesis chapter 4 verse 22 (KJV visualization text)"
"Genesis",4,23,"Genesis chapter 4 verse 23 (KJV visualization text)"
"Genesis",4,24,"Genesis chapter 4 verse 24 (KJV visualization text)"
"Genesis",4,25,"Genesis chapter 4 verse 25 (KJV visualization text)"
"Genesis",4,26,"Genesis chapter 4 verse 26 (KJV visualization text)"
"Genesis",4,27,"Genesis chapter 4 verse 27 (KJV visualization text)"
"Genesis",4,28,"Genesis chapter 4 verse 28 (KJV visualization text)"
"Genesis",4,29,"Genesis chapter 4 verse 29 (KJV visualization text)"
"Genesis",4,30,"Genesis chapter 4 verse 30 (KJV visualization text)"
"Genesis",5,1,"Genesis chapter 5 verse 1 (KJV visualization text)"
"Genesis",5,2,"Genesis chapter 5 verse 2 (KJV visualization text)"
"Genesis",5,3,"Genesis chapter 5 verse 3 (KJV visualization text)"
"Genesis",5,4,"Genesis chapter 5 verse 4 (KJV visualization text)"
"Genesis",5,5,"Genesis chapter 5 verse 5 (KJV visualization text)"
"Genesis",5,6,"Genesis chapter 5 verse 6 (KJV visualization text)"
"Genesis",5,7,"Genesis chapter 5 verse 7 (KJV visualization text)"
"Genesis",5,8,"Genesis chapter 5 verse 8 (KJV visualization text)"
"Genesis",5,9,"Genesis chapter 5 verse 9 (KJV visualization text)"
"Genesis",5,10,"Genesis chapter 5 verse 10 (KJV visualization text)"
"Genesis",5,11,"Genesis chapter 5 verse 11 (KJV visualization text)"
"Genesis",5,12,"Genesis chapter 5 verse 12 (KJV visualization text)"
"Genesis",5,13,"Genesis chapter 5 verse 13 (KJV visualization text)"
"Genesis",5,14,"Genesis chapter 5 verse 14 (KJV visualization text)"
"Genesis",5,15,"Genesis chapter 5 verse 15 (KJV visualization text)"
"Genesis",5,16,"Genesis chapter 5 verse 16 (KJV visualization text)"
"Genesis",5,17,"Genesis chapter 5 verse 17 (KJV visualization text)"
"Genesis",5,18,"Genesis chapter 5 verse 18 (KJV visualization text)"
"Genesis",5,19,"Genesis chapter 5 verse 19 (KJV visualization text)"
"Genesis",5,20,"Genesis chapter 5 verse 20 (KJV visualization text)"
"Genesis",5,21,"Genesis chapter 5 verse 21 (KJV visualization text)"
"Genesis",5,22,"Genesis chapter 5 verse 22 (KJV visualization text)"
"Genesis",5,23,"Genesis chapter 5 verse 23 (KJV visualization text)"
"Genesis",5,24,"Genesis chapter 5 verse 24 (KJV visualization text)"
"Genesis",5,25,"Genesis chapter 5 verse 25 (KJV visualization text)"
"Genesis",5,26,"Genesis chapter 5 verse 26 (KJV visualization text)"
"Genesis",5,27,"Genesis chapter 5 verse 27 (KJV visualization text)"
"Genesis",5,28,"Genesis chapter 5 verse 28 (KJV visualization text)"
"Genesis",5,29,"Genesis chapter 5 verse 29 (KJV visualization text)"
"Genesis",5,30,"Genesis chapter 5 verse 30 (KJV visualization text)"
"Genesis",6,1,"Genesis chapter 6 verse 1 (KJV visualization text)"
"Genesis",6,2,"Genesis chapter 6 verse 2 (KJV visualization text)"
"Genesis",6,3,"Genesis chapter 6 verse 3 (KJV visualization text)"
"Genesis",6,4,"Genesis chapter 6 verse 4 (KJV visualization text)"
"Genesis",6,5,"Genesis chapter 6 verse 5 (KJV visualization text)"
"Genesis",6,6,"Genesis chapter 6 verse 6 (KJV visualization text)"
"Genesis",6,7,"Genesis chapter 6 verse 7 (KJV visualization text)"
"Genesis",6,8,"Genesis chapter 6 verse 8 (KJV visualization text)"
"Genesis",6,9,"Genesis chapter 6 verse 9 (KJV visualization text)"
"Genesis",6,10,"Genesis chapter 6 verse 10 (KJV visualization text)"
"Genesis",6,11,"Genesis chapter 6 verse 11 (KJV visualization text)"
"Genesis",6,12,"Genesis chapter 6 verse 12 (KJV visualization text)"
"Genesis",6,13,"Genesis chapter 6 verse 13 (KJV visualization text)"
"Genesis",6,14,"Genesis chapter 6 verse 14 (KJV visualization text)"
"Genesis",6,15,"Genesis chapter 6 verse 15 (KJV visualization text)"
"Genesis",6,16,"Genesis chapter 6 verse 16 (KJV visualization text)"
"Genesis",6,17,"Genesis chapter 6 verse 17 (KJV visualization text)"
"Genesis",6,18,"Genesis chapter 6 verse 18 (KJV visualization text)"
"Genesis",6,19,"Genesis chapter 6 verse 19 (KJV visualization text)"
"Genesis",6,20,"Genesis chapter 6 verse 20 (KJV visualization text)"
"Genesis",6,21,"Genesis chapter 6 verse 21 (KJV visualization text)"
"Genesis",6,22,"Genesis chapter 6 verse 22 (KJV visualization text)"
"Genesis",6,23,"Genesis chapter 6 verse 23 (KJV visualization text)"
"Genesis",6,24,"Genesis chapter 6 verse 24 (KJV visualization text)"
"Genesis",6,25,"Genesis chapter 6 verse 25 (KJV visualization text)"
"Genesis",6,26,"Genesis chapter 6 verse 26 (KJV visualization text)"
"Genesis",6,27,"Genesis chapter 6 verse 27 (KJV visualization text)"
"Genesis",6,28,"Genesis chapter 6 verse 28 (KJV visualization text)"
"Genesis",6,29,"Genesis chapter 6 verse 29 (KJV visualization text)"
"Genesis",6,30,"Genesis chapter 6 verse 30 (KJV visualization text)"
"Genesis",7,1,"Genesis chapter 7 verse 1 (KJV visualization text)"
"Genesis",7,2,"Genesis chapter 7 verse 2 (KJV visualization text)"
"Genesis",7,3,"Genesis chapter 7 verse 3 (KJV visualization text)"
"Genesis",7,4,"Genesis chapter 7 verse 4 (KJV visualization text)"
"Genesis",7,5,"Genesis chapter 7 verse 5 (KJV visualization text)"
"Genesis",7,6,"Genesis chapter 7 verse 6 (KJV visualization text)"
"Genesis",7,7,"Genesis chapter 7 verse 7 (KJV visualization text)"
"Genesis",7,8,"Genesis chapter 7 verse 8 (KJV visualization text)"
"Genesis",7,9,"Genesis chapter 7 verse 9 (KJV visualization text)"
"Genesis",7,10,"Genesis chapter 7 verse 10 (KJV visualization text)"
"Genesis",7,11,"Genesis chapter 7 verse 11 (KJV visualization text)"
"Genesis",7,12,"Genesis chapter 7 verse 12 (KJV visualization text)"
"Genesis",7,13,"Genesis chapter 7 verse 13 (KJV visualization text)"
"Genesis",7,14,"Genesis chapter 7 verse 14 (KJV visualization text)"
"Genesis",7,15,"Genesis chapter 7 verse 15 (KJV visualization text)"
"Genesis",7,16,"Genesis chapter 7 verse 16 (KJV visualization text)"
"Genesis",7,17,"Genesis chapter 7 verse 17 (KJV visualization text)"
"Genesis",7,18,"Genesis chapter 7 verse 18 (KJV visualization text)"
"Genesis",7,19,"Genesis chapter 7 verse 19 (KJV visualization text)"
"Genesis",7,20,"Genesis chapter 7 verse 20 (KJV visualization text)"
"Genesis",7,21,"Genesis chapter 7 verse 21 (KJV visualization text)"
"Genesis",7,22,"Genesis chapter 7 verse 22 (KJV visualization text)"
"Genesis",7,23,"Genesis chapter 7 verse 23 (KJV visualization text)"
"Genesis",7,24,"Genesis chapter 7 verse 24 (KJV visualization text)"
"Genesis",7,25,"Genesis chapter 7 verse 25 (KJV visualization text)"
"Genesis",7,26,"Genesis chapter 7 verse 26 (KJV visualization text)"
"Genesis",7,27,"Genesis chapter 7 verse 27 (KJV visualization text)"
"Genesis",7,28,"Genesis chapter 7 verse 28 (KJV visualization text)"
"Genesis",7,29,"Genesis chapter 7 verse 29 (KJV visualization text)"
"Genesis",7,30,"Genesis chapter 7 verse 30 (KJV visualization text)"
"Genesis",8,1,"Genesis chapter 8 verse 1 (KJV visualization text)"
"Genesis",8,2,"Genesis chapter 8 verse 2 (KJV visualization text)"
"Genesis",8,3,"Genesis chapter 8 verse 3 (KJV visualization text)"
"Genesis",8,4,"Genesis chapter 8 verse 4 (KJV visualization text)"
"Genesis",8,5,"Genesis chapter 8 verse 5 (KJV visualization text)"
"Genesis",8,6,"Genesis chapter 8 verse 6 (KJV visualization text)"
"Genesis",8,7,"Genesis chapter 8 verse 7 (KJV visualization text)"
"Genesis",8,8,"Genesis chapter 8 verse 8 (KJV visualization text)"
"Genesis",8,9,"Genesis chapter 8 verse 9 (KJV visualization text)"
"Genesis",8,10,"Genesis chapter 8 verse 10 (KJV visualization text)"
"Genesis",8,11,"Genesis chapter 8 verse 11 (KJV visualization text)"
"Genesis",8,12,"Genesis chapter 8 verse 12 (KJV visualization text)"
"Genesis",8,13,"Genesis chapter 8 verse 13 (KJV visualization text)"
"Genesis",8,14,"Genesis chapter 8 verse 14 (KJV visualization text)"
"Genesis",8,15,"Genesis chapter 8 verse 15 (KJV visualization text)"
"Genesis",8,16,"Genesis chapter 8 verse 16 (KJV visualization text)"
"Genesis",8,17,"Genesis chapter 8 verse 17 (KJV visualization text)"
"Genesis",8,18,"Genesis chapter 8 verse 18 (KJV visualization text)"
"Genesis",8,19,"Genesis chapter 8 verse 19 (KJV visualization text)"
"Genesis",8,20,"Genesis chapter 8 verse 20 (KJV visualization text)"
"Genesis",8,21,"Genesis chapter 8 verse 21 (KJV visualization text)"
"Genesis",8,22,"Genesis chapter 8 verse 22 (KJV visualization text)"
"Genesis",8,23,"Genesis chapter 8 verse 23 (KJV visualization text)"
"Genesis",8,24,"Genesis chapter 8 verse 24 (KJV visualization text)"
"Genesis",8,25,"Genesis chapter 8 verse 25 (KJV visualization text)"
"Genesis",8,26,"Genesis chapter 8 verse 26 (KJV visualization text)"
"Genesis",8,27,"Genesis chapter 8 verse 27 (KJV visualization text)"
"Genesis",8,28,"Genesis chapter 8 verse 28 (KJV visualization text)"
"Genesis",8,29,"Genesis chapter 8 verse 29 (KJV visualization text)"
"Genesis",8,30,"Genesis chapter 8 verse 30 (KJV visualization text)"
"Genesis",9,1,"Genesis chapter 9 verse 1 (KJV visualization text)"
"Genesis",9,2,"Genesis chapter 9 verse 2 (KJV visualization text)"
"Genesis",9,3,"Genesis chapter 9 verse 3 (KJV visualization text)"
"Genesis",9,4,"Genesis chapter 9 verse 4 (KJV visualization text)"
"Genesis",9,5,"Genesis chapter 9 verse 5 (KJV visualization text)"
"Genesis",9,6,"Genesis chapter 9 verse 6 (KJV visualization text)"
"Genesis",9,7,"Genesis chapter 9 verse 7 (KJV visualization text)"
"Genesis",9,8,"Genesis chapter 9 verse 8 (KJV visualization text)"
"Genesis",9,9,"Genesis chapter 9 verse 9 (KJV visualization text)"
"Genesis",9,10,"Genesis chapter 9 verse 10 (KJV visualization text)"
"Genesis",9,11,"Genesis chapter 9 verse 11 (KJV visualization text)"
"Genesis",9,12,"Genesis chapter 9 verse 12 (KJV visualization text)"
"Genesis",9,13,"Genesis chapter 9 verse 13 (KJV visualization text)"
"Genesis",9,14,"Genesis chapter 9 verse 14 (KJV visualization text)"
"Genesis",9,15,"Genesis chapter 9 verse 15 (KJV visualization text)"
"Genesis",9,16,"Genesis chapter 9 verse 16 (KJV visualization text)"
"Genesis",9,17,"Genesis chapter 9 verse 17 (KJV visualization text)"
"Genesis",9,18,"Genesis chapter 9 verse 18 (KJV visualization text)"
"Genesis",9,19,"Genesis chapter 9 verse 19 (KJV visualization text)"
"Genesis",9,20,"Genesis chapter 9 verse 20 (KJV visualization text)"
"Genesis",9,21,"Genesis chapter 9 verse 21 (KJV visualization text)"
"Genesis",9,22,"Genesis chapter 9 verse 22 (KJV visualization text)"
"Genesis",9,23,"Genesis chapter 9 verse 23 (KJV visualization text)"
"Genesis",9,24,"Genesis chapter 9 verse 24 (KJV visualization text)"
"Genesis",9,25,"Genesis chapter 9 verse 25 (KJV visualization text)"
"Genesis",9,26,"Genesis chapter 9 verse 26 (KJV visualization text)"
"Genesis",9,27,"Genesis chapter 9 verse 27 (KJV visualization text)"
"Genesis",9,28,"Genesis chapter 9 verse 28 (KJV visualization text)"
"Genesis",9,29,"Genesis chapter 9 verse 29 (KJV visualization text)"
"Genesis",9,30,"Genesis chapter 9 verse 30 (KJV visualization text)"
"Genesis",10,1,"Genesis chapter 10 verse 1 (KJV visualization text)"
"Genesis",10,2,"Genesis chapter 10 verse 2 (KJV visualization text)"
"Genesis",10,3,"Genesis chapter 10 verse 3 (KJV visualization text)"
"Genesis",10,4,"Genesis chapter 10 verse 4 (KJV visualization text)"
"Genesis",10,5,"Genesis chapter 10 verse 5 (KJV visualization text)"
"Genesis",10,6,"Genesis chapter 10 verse 6 (KJV visualization text)"
"Genesis",10,7,"Genesis chapter 10 verse 7 (KJV visualization text)"
"Genesis",10,8,"Genesis chapter 10 verse 8 (KJV visualization text)"
"Genesis",10,9,"Genesis chapter 10 verse 9 (KJV visualization text)"
"Genesis",10,10,"Genesis chapter 10 verse 10 (KJV visualization text)"
"Genesis",10,11,"Genesis chapter 10 verse 11 (KJV visualization text)"
"Genesis",10,12,"Genesis chapter 10 verse 12 (KJV visualization text)"
"Genesis",10,13,"Genesis chapter 10 verse 13 (KJV visualization text)"
"Genesis",10,14,"Genesis chapter 10 verse 14 (KJV visualization text)"
"Genesis",10,15,"Genesis chapter 10 verse 15 (KJV visualization text)"
"Genesis",10,16,"Genesis chapter 10 verse 16 (KJV visualization text)"
"Genesis",10,17,"Genesis chapter 10 verse 17 (KJV visualization text)"
"Genesis",10,18,"Genesis chapter 10 verse 18 (KJV visualization text)"
"Genesis",10,19,"Genesis chapter 10 verse 19 (KJV visualization text)"
"Genesis",10,20,"Genesis chapter 10 verse 20 (KJV visualization text)"
"Genesis",10,21,"Genesis chapter 10 verse 21 (KJV visualization text)"
"Genesis",10,22,"Genesis chapter 10 verse 22 (KJV visualization text)"
"Genesis",10,23,"Genesis chapter 10 verse 23 (KJV visualization text)"
"Genesis",10,24,"Genesis chapter 10 verse 24 (KJV visualization text)"
"Genesis",10,25,"Genesis chapter 10 verse 25 (KJV visualization text)"
"Genesis",10,26,"Genesis chapter 10 verse 26 (KJV visualization text)"
"Genesis",10,27,"Genesis chapter 10 verse 27 (KJV visualization text)"
"Genesis",10,28,"Genesis chapter 10 verse 28 (KJV visualization text)"
"Genesis",10,29,"Genesis chapter 10 verse 29 (KJV visualization text)"
"Genesis",10,30,"Genesis chapter 10 verse 30 (KJV visualization text)"
"Genesis",11,1,"Genesis chapter 11 verse 1 (KJV visualization text)"
"Genesis",11,2,"Genesis chapter 11 verse 2 (KJV visualization text)"
"Genesis",11,3,"Genesis chapter 11 verse 3 (KJV visualization text)"
"Genesis",11,4,"Genesis chapter 11 verse 4 (KJV visualization text)"
"Genesis",11,5,"Genesis chapter 11 verse 5 (KJV visualization text)"
"Genesis",11,6,"Genesis chapter 11 verse 6 (KJV visualization text)"
"Genesis",11,7,"Genesis chapter 11 verse 7 (KJV visualization text)"
"Genesis",11,8,"Genesis chapter 11 verse 8 (KJV visualization text)"
"Genesis",11,9,"Genesis chapter 11 verse 9 (KJV visualization text)"
"Genesis",11,10,"Genesis chapter 11 verse 10 (KJV visualization text)"
"Genesis",11,11,"Genesis chapter 11 verse 11 (KJV visualization text)"
"Genesis",11,12,"Genesis chapter 11 verse 12 (KJV visualization text)"
"Genesis",11,13,"Genesis chapter 11 verse 13 (KJV visualization text)"
"Genesis",11,14,"Genesis chapter 11 verse 14 (KJV visualization text)"
"Genesis",11,15,"Genesis chapter 11 verse 15 (KJV visualization text)"
"Genesis",11,16,"Genesis chapter 11 verse 16 (KJV visualization text)"
"Genesis",11,17,"Genesis chapter 11 verse 17 (KJV visualization text)"
"Genesis",11,18,"Genesis chapter 11 verse 18 (KJV visualization text)"
"Genesis",11,19,"Genesis chapter 11 verse 19 (KJV visualization text)"
"Genesis",11,20,"Genesis chapter 11 verse 20 (KJV visualization text)"
"Genesis",11,21,"Genesis chapter 11 verse 21 (KJV visualization text)"
"Genesis",11,22,"Genesis chapter 11 verse 22 (KJV visualization text)"
"Genesis",11,23,"Genesis chapter 11 verse 23 (KJV visualization text)"
"Genesis",11,24,"Genesis chapter 11 verse 24 (KJV visualization text)"
"Genesis",11,25,"Genesis chapter 11 verse 25 (KJV visualization text)"
"Genesis",11,26,"Genesis chapter 11 verse 26 (KJV visualization text)"
"Genesis",11,27,"Genesis chapter 11 verse 27 (KJV visualization text)"
"Genesis",11,28,"Genesis chapter 11 verse 28 (KJV visualization text)"
"Genesis",11,29,"Genesis chapter 11 verse 29 (KJV visualization text)"
"Genesis",11,30,"Genesis chapter 11 verse 30 (KJV visualization text)"
"Genesis",12,1,"Genesis chapter 12 verse 1 (KJV visualization text)"
"Genesis",12,2,"Genesis chapter 12 verse 2 (KJV visualization text)"
"Genesis",12,3,"Genesis chapter 12 verse 3 (KJV visualization text)"
"Genesis",12,4,"Genesis chapter 12 verse 4 (KJV visualization text)"
"Genesis",12,5,"Genesis chapter 12 verse 5 (KJV visualization text)"
"Genesis",12,6,"Genesis chapter 12 verse 6 (KJV visualization text)"
"Genesis",12,7,"Genesis chapter 12 verse 7 (KJV visualization text)"
"Genesis",12,8,"Genesis chapter 12 verse 8 (KJV visualization text)"
"Genesis",12,9,"Genesis chapter 12 verse 9 (KJV visualization text)"
"Genesis",12,10,"Genesis chapter 12 verse 10 (KJV visualization text)"
"Genesis",12,11,"Genesis chapter 12 verse 11 (KJV visualization text)"
"Genesis",12,12,"Genesis chapter 12 verse 12 (KJV visualization text)"
"Genesis",12,13,"Genesis chapter 12 verse 13 (KJV visualization text)"
"Genesis",12,14,"Genesis chapter 12 verse 14 (KJV visualization text)"
"Genesis",12,15,"Genesis chapter 12 verse 15 (KJV visualization text)"
"Genesis",12,16,"Genesis chapter 12 verse 16 (KJV visualization text)"
"Genesis",12,17,"Genesis chapter 12 verse 17 (KJV visualization text)"
"Genesis",12,18,"Genesis chapter 12 verse 18 (KJV visualization text)"
"Genesis",12,19,"Genesis chapter 12 verse 19 (KJV visualization text)"
"Genesis",12,20,"Genesis chapter 12 verse 20 (KJV visualization text)"
"Genesis",12,21,"Genesis chapter 12 verse 21 (KJV visualization text)"
"Genesis",12,22,"Genesis chapter 12 verse 22 (KJV visualization text)"
"Genesis",12,23,"Genesis chapter 12 verse 23 (KJV visualization text)"
"Genesis",12,24,"Genesis chapter 12 verse 24 (KJV visualization text)"
"Genesis",12,25,"Genesis chapter 12 verse 25 (KJV visualization text)"
"Genesis",12,26,"Genesis chapter 12 verse 26 (KJV visualization text)"
"Genesis",12,27,"Genesis chapter 12 verse 27 (KJV visualization text)"
"Genesis",12,28,"Genesis chapter 12 verse 28 (KJV visualization text)"
"Genesis",12,29,"Genesis chapter 12 verse 29 (KJV visualization text)"
"Genesis",12,30,"Genesis chapter 12 verse 30 (KJV visualization text)"
"Genesis",13,1,"Genesis chapter 13 verse 1 (KJV visualization text)"
"Genesis",13,2,"Genesis chapter 13 verse 2 (KJV visualization text)"
"Genesis",13,3,"Genesis chapter 13 verse 3 (KJV visualization text)"
"Genesis",13,4,"Genesis chapter 13 verse 4 (KJV visualization text)"
"Genesis",13,5,"Genesis chapter 13 verse 5 (KJV visualization text)"
"Genesis",13,6,"Genesis chapter 13 verse 6 (KJV visualization text)"
"Genesis",13,7,"Genesis chapter 13 verse 7 (KJV visualization text)"
"Genesis",13,8,"Genesis chapter 13 verse 8 (KJV visualization text)"
"Genesis",13,9,"Genesis chapter 13 verse 9 (KJV visualization text)"
"Genesis",13,10,"Genesis chapter 13 verse 10 (KJV visualization text)"
"Genesis",13,11,"Genesis chapter 13 verse 11 (KJV visualization text)"
"Genesis",13,12,"Genesis chapter 13 verse 12 (KJV visualization text)"
"Genesis",13,13,"Genesis chapter 13 verse 13 (KJV visualization text)"
"Genesis",13,14,"Genesis chapter 13 verse 14 (KJV visualization text)"
"Genesis",13,15,"Genesis chapter 13 verse 15 (KJV visualization text)"
"Genesis",13,16,"Genesis chapter 13 verse 16 (KJV visualization text)"
"Genesis",13,17,"Genesis chapter 13 verse 17 (KJV visualization text)"
